T_Cdeg;P_Mpa
632.203;1297.289
635.593;1040.06
640.254;787.048
644.915;546.687
647.034;468.675
649.186;417.936
652.128;371.57
655.561;332.525
660.22;294.7
665.86;260.535
671.01;234.912
676.895;210.509
684.251;186.106
692.589;162.923
700.19;144.62
709.999;122.657
719.072;105.575
730.106;87.273
744.329;68.97
757.815;56.769
778.413;45.177
797.295;37.856
815.686;32.366
856.391;25.045
906.415;18.334
961.86;0
